Name,X10_Chronic_KO_1_RNA,X11_Chronic_KO_2_RNA,X12_Chronic_KO_3_RNA,X1_Acute_Control_1_RNA,X2_Acute_Control_2_RNA,X3_Acute_Control_3_RNA,X4_Acute_KO_1_RNA,X5_Acute_KO_2_RNA,X6_Acute_KO_3_RNA,X7_Chronic_Control_1_RNA,X8_Chronic_Control_2_RNA,X9_Chronic_Control_3_RNA
ENSMUSG00000037296, 5.08381, 4.92892, 4.85962, 4.87956, 4.86729, 4.75865, 4.68121, 5.37830, 5.36765, 5.19567, 5.14378, 5.03149
ENSMUSG00000002014, 7.51638, 7.41657, 7.55945, 7.78311, 7.74198, 7.57459, 7.15946, 6.90091, 7.31810, 7.85096, 7.93631, 7.66278
ENSMUSG00000030655, 5.28124, 5.37279, 5.79394, 5.63170, 5.75107, 5.68301, 5.90192, 5.47208, 5.23262, 5.03525, 4.85767, 5.19730
ENSMUSG00000103949, 2.72929, 2.39611, 3.18703, 2.64344, 2.53235, 2.35222, 2.41419, 2.60024, 3.31973, 2.92394, 3.17484, 2.95430
ENSMUSG00000108037, 1.01299, 0.53150, 1.59074, 0.52146, 0.76669, 0.30920, 1.21882, 2.29745, 0.74760, 0.84410, 1.81290, 2.41693
ENSMUSG00000091514,-1.79517,-1.46661,-1.81009,-0.66574,-0.61874,-0.83500,-2.30321,-1.32015,-1.46192, 0.31519,-0.40570,-0.61295
ENSMUSG00000074922, 2.88872, 2.77530, 1.90410, 3.13230, 3.27087, 3.20064, 2.85590, 2.60931, 2.45311, 3.30219, 3.29733, 2.35220
ENSMUSG00000105652,-2.33616,-3.04653,-3.00267,-0.25089,-0.61874,-1.29359,-1.61796,-2.72009,-2.23790,-1.56597,-1.77799,-3.87735
ENSMUSG00000052446, 2.53215, 2.40550, 1.91095, 2.82186, 2.98223, 2.98888, 2.83737, 2.46680, 1.82143, 2.66159, 2.52775, 2.59933
ENSMUSG00000026388, 1.96058, 1.73128, 1.54741, 1.97106, 1.83521, 1.45866, 1.55752, 1.93557, 1.54037, 1.87935, 2.03672, 1.69962
ENSMUSG00000028057, 4.13944, 4.12870, 4.26533, 4.63324, 4.54043, 4.53309, 4.24938, 4.30753, 4.20152, 4.08973, 4.26791, 4.32451
ENSMUSG00000027580, 4.30378, 4.28198, 3.67970, 5.11196, 4.98283, 4.88327, 4.65764, 4.19599, 3.72003, 4.21651, 4.11325, 3.96196
ENSMUSG00000078762, 3.41763, 3.41708, 2.92794, 3.74104, 3.49856, 3.57379, 3.38438, 3.46196, 3.16871, 3.42902, 3.28803, 2.87093
ENSMUSG00000031530, 4.04653, 3.85629, 4.81282, 3.10321, 2.93584, 3.15742, 2.56821, 2.01967, 3.59424, 4.17453, 3.91805, 3.37084
ENSMUSG00000026634, 5.21068, 5.02427, 4.63900, 4.93012, 4.98966, 4.95760, 5.01518, 5.23980, 5.11091, 5.01794, 5.08144, 4.54844
ENSMUSG00000053541, 2.53663, 2.45160, 1.16714, 4.46966, 4.42315, 3.58810, 3.07735, 3.00965, 1.87333, 3.30479, 3.27867, 2.44381
ENSMUSG00000031169, 1.32460, 1.77544, 2.41867,-5.80927,-3.08504,-4.27215, 1.56505, 2.18054, 2.17846,-3.22838,-2.79403,-2.08669
ENSMUSG00000026698, 4.01471, 3.97938, 4.24106, 4.34848, 4.23419, 4.55928, 4.01804, 4.13288, 3.91213, 4.41346, 4.50312, 4.57907
ENSMUSG00000035595, 4.47488, 4.32471, 4.38584, 4.12650, 4.03001, 3.77308, 3.49097, 4.26078, 4.48197, 4.55107, 4.68301, 4.62579
ENSMUSG00000020255, 4.91570, 4.87920, 5.56380, 5.36755, 5.39309, 5.57422, 5.22514, 5.22216, 5.44256, 5.36326, 5.30231, 5.60159
ENSMUSG00000050796, 2.65693, 2.54809, 1.54741, 3.11200, 3.24573, 2.99503, 2.49916, 1.97823, 2.26518, 2.88629, 2.90968, 1.55919
ENSMUSG00000092183,-0.75030,-0.43395,-1.56218,-0.44345,-0.51201,-0.17978,-0.43139,-1.01113,-1.46192, 0.14012,-0.53179,-0.22650
ENSMUSG00000063884, 5.17082, 5.00199, 4.33068, 5.04011, 5.15469, 4.94256, 4.94480, 4.69940, 4.41935, 5.26399, 5.34703, 4.47216
ENSMUSG00000052698,-0.70721, 0.04632,-0.13771,-1.51312,-1.90044,-2.06900,-0.76718,-0.85319,-0.41247, 0.18592,-0.01960,-0.47232
ENSMUSG00000032551, 4.25424, 4.02430, 4.21499, 4.25107, 4.32097, 4.37344, 3.86941, 4.08489, 4.18621, 4.76422, 4.66874, 4.39507
ENSMUSG00000028902, 5.55780, 5.54104, 5.45136, 5.97657, 5.92461, 5.97597, 5.57889, 5.37165, 5.22098, 5.68070, 5.70131, 5.43688
ENSMUSG00000029821, 1.98048, 1.81829, 2.00364, 2.99653, 3.12413, 3.31324, 2.52254, 1.96415, 2.16464, 2.67369, 2.55385, 2.50464
ENSMUSG00000021830, 3.53442, 3.47178, 4.00684, 3.58568, 3.67649, 3.52361, 3.82464, 3.59355, 3.50110, 2.97701, 3.21138, 3.38939
ENSMUSG00000061559, 4.94554, 4.83032, 4.59393, 5.02933, 4.95053, 4.96075, 4.90754, 4.41106, 4.78827, 4.64732, 4.82053, 4.59114
ENSMUSG00000033335, 7.01050, 7.03166, 7.26733, 7.23538, 7.18042, 7.28688, 7.20443, 7.22736, 7.14463, 7.11288, 7.07479, 7.54619
ENSMUSG00000022131, 3.95226, 4.09134, 4.28525, 4.06447, 4.04028, 3.93061, 3.81520, 3.82735, 4.28531, 3.74235, 3.91805, 4.03006
ENSMUSG00000030725, 2.00011, 1.92669, 0.89030, 1.58159, 1.16011, 1.03783, 1.78082, 1.30268, 1.33363, 1.12840, 1.73290, 0.38584
ENSMUSG00000056665, 3.06060, 2.96839, 1.63280, 3.01226, 2.86169, 2.39006, 3.13159, 3.09612, 3.03460, 2.29438, 2.37214, 1.86121
ENSMUSG00000042292, 4.84961, 4.96988, 4.91607, 5.21684, 5.23095, 5.42159, 5.09924, 4.52215, 4.66609, 4.58031, 4.57753, 4.68331
