Name,Label,Length,EffectiveLength,6_Acute_KO_3,5_Acute_KO_2,9_Chronic_Control_3,3_Acute_Control_3,2_Acute_Control_2,10_Chronic_KO_1,4_Acute_KO_1,1_Acute_Control_1,7_Chronic_Control_1,11_Chronic_KO_2,12_Chronic_KO_3,8_Chronic_Control_2
ENSMUSG00000045027,Prss22,NA,NA,10.0,3.0,8.011,15.0,15.0,23.0,17.0,10.0,27.0,22.0,4.0,6.0
ENSMUSG00000026113,Inpp4a,NA,NA,22.0,15.0,10.0,11.0,25.0,22.0,25.0,10.0,20.0,26.999,16.0,9.0
ENSMUSG00000071073,ENSMUSG00000071073,NA,NA,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,15.0,0.0
ENSMUSG00000002799,Jag2,NA,NA,43.0,18.0,25.0,21.0,18.0,121.0,89.0,14.0,103.827,87.0,41.0,48.0
ENSMUSG00000094531,Or52e8,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000038022,Mindy4,NA,NA,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
ENSMUSG00000023902,Zscan10,NA,NA,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0
ENSMUSG00000096035,Odaph,NA,NA,248.0,216.0,83.0,169.0,203.0,60.0,48.0,166.0,53.0,77.0,42.0,15.0
ENSMUSG00000001482,Def8,NA,NA,9.0,23.0,4.0,12.0,8.0,22.0,11.0,18.0,26.0,12.0,10.0,4.0
ENSMUSG00000020020,Usp44,NA,NA,1.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
ENSMUSG00000054905,Stfa3,NA,NA,0.0,1.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000040298,Btbd16,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSMUSG00000004383,Large1,NA,NA,3.0,3.0,0.0,3.0,11.0,0.0,1.0,6.0,2.0,3.0,1.0,2.0
ENSMUSG00000039163,Cmc1,NA,NA,134.0,212.0,81.0,147.0,226.0,139.0,208.0,186.0,205.0,112.0,72.0,61.0
ENSMUSG00000021891,Mettl6,NA,NA,53.0,70.0,57.0,81.0,113.0,40.0,69.0,94.0,80.999,39.0,17.0,32.0
ENSMUSG00000035206,Sppl2b,NA,NA,32.0,39.0,17.0,30.0,47.0,34.0,16.0,27.0,19.0,20.0,30.0,24.0
ENSMUSG00000047878,A4galt,NA,NA,2.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
ENSMUSG00000034990,Otoa,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,1.0,0.0,0.0
ENSMUSG00000028975,Pex14,NA,NA,368.0,331.001,245.0,246.0,446.073,516.0,337.0,394.004,387.0,392.0,257.001,221.0
ENSMUSG00000066551,Hmgb1,NA,NA,1915.344,2429.774,1735.695,2592.281,3409.32,2034.739,1950.999,3053.499,2102.999,1536.548,1223.914,1099.916
ENSMUSG00000015126,Tsr3,NA,NA,301.999,322.0,205.999,255.001,388.0,335.0,412.796,339.0,524.999,285.0,176.001,239.0
ENSMUSG00000027715,Ccna2,NA,NA,55.0,222.0,38.0,53.0,78.0,139.0,101.0,98.0,74.0,85.0,69.58,70.436
ENSMUSG00000029463,Fam216a,NA,NA,22.0,42.0,21.0,28.0,31.0,52.0,68.0,48.0,48.0,47.0,47.0,43.0
ENSMUSG00000049076,Acap2,NA,NA,48.0,49.0,48.0,90.0,135.0,99.0,120.001,117.0,77.0,82.0,45.0,49.0
ENSMUSG00000076465,Trbv5,NA,NA,100.0,136.0,113.0,130.0,224.0,147.0,183.0,181.0,82.0,73.0,95.0,61.0
ENSMUSG00000067524,Or4d6,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000053693,Mast1,NA,NA,3.0,7.0,5.0,0.0,2.094,2.0,2.073,1.0,11.0,1.0,10.329,3.0
ENSMUSG00000061065,H2al1o,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025330,Padi4,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.001,0.0,0.0
ENSMUSG00000028647,Mycbp,NA,NA,30.0,24.0,19.0,28.0,46.0,21.0,16.0,20.0,60.0,23.0,21.0,25.0
ENSMUSG00000001802,Lrp3,NA,NA,1.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,16.0,1.0
ENSMUSG00000004789,Dlst,NA,NA,479.0,479.0,311.0,439.0,565.0,737.0,704.0,504.0,848.0,554.0,400.0,399.0
ENSMUSG00000096600,Trav6d-3,NA,NA,4.866,7.627,3.39,0.69,1.956,3.315,0.0,6.349,1.975,1.957,30.89,27.302
ENSMUSG00000046865,Fbl,NA,NA,2460.0,1697.0,839.0,1640.0,2287.0,1973.0,1701.0,2091.0,1804.0,1369.0,794.0,1197.0
ENSMUSG00000002748,Baz1b,NA,NA,571.0,733.0,566.0,1138.0,959.0,1173.0,1281.0,855.0,957.0,871.0,564.0,487.0
ENSMUSG00000107648,Or6c200-ps1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000075094,Or4c123,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000045038,Prkce,NA,NA,0.0,14.0,0.0,1.001,0.0,1.0,1.0,0.0,2.0,6.0,2.0,0.0
ENSMUSG00000096645,Spin2e,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
